NUMERO_REGISTRO,NOMBRE_PRODUCTO,PRINCIPIO_ACTIVO,FORMA_FARMACEUTICA,CONCENTRACION,LABORATORIO,VIA_ADMINISTRACION,REQUIERE_RECETA
F-20007,OMEPRAZOL 20MG CAPSULA,OMEPRAZOL,CAPSULA,20 MG,PFIZER INC.,ORAL,NO
F-20008,METFORMINA 850MG COMPRIMIDO,METFORMINA,COMPRIMIDO,850 MG,MERCK S.A.,ORAL,SI
F-20009,ATORVASTATINA 20MG COMPRIMIDO,ATORVASTATINA,COMPRIMIDO,20 MG,PFIZER INC.,ORAL,SI
F-20010,CLONAZEPAM 0.5MG COMPRIMIDO,CLONAZEPAM,COMPRIMIDO,0.5 MG,LABORATORIO BETA,ORAL,SI
F-20021,IBUPROFENO 200MG CAPSULA,IBUPROFENO,CAPSULA,200 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20022,NAPROXENO 500MG COMPRIMIDO,NAPROXENO,COMPRIMIDO,500 MG,BAYER S.A.,ORAL,NO
F-20023,DICLOFENACO 50MG COMPRIMIDO,DICLOFENACO SODICO,COMPRIMIDO,50 MG,NOVARTIS S.A.,ORAL,NO
F-20024,KETOROLACO 10MG COMPRIMIDO,KETOROLACO,COMPRIMIDO,10 MG,LABORATORIO BETA,ORAL,SI
F-20025,AZITROMICINA 500MG COMPRIMIDO,AZITROMICINA,COMPRIMIDO,500 MG,PFIZER INC.,ORAL,SI
F-20026,CIPROFLOXACINO 500MG COMPRIMIDO,CIPROFLOXACINO,COMPRIMIDO,500 MG,BAYER S.A.,ORAL,SI
F-20027,CLOXACILINA 500MG CAPSULA,CLOXACILINA,CAPSULA,500 MG,LABORATORIO CHILE S.A.,ORAL,SI
F-20028,LOSARTAN 100MG COMPRIMIDO,LOSARTAN POTASICO,COMPRIMIDO,100 MG,MERCK S.A.,ORAL,SI
F-20029,ENALAPRIL 10MG COMPRIMIDO,ENALAPRIL,COMPRIMIDO,10 MG,LABORATORIO CHILE S.A.,ORAL,SI
F-20030,AMLODIPINO 5MG COMPRIMIDO,AMLODIPINO,COMPRIMIDO,5 MG,PFIZER INC.,ORAL,SI
F-20031,METOPROLOL 50MG COMPRIMIDO,METOPROLOL,COMPRIMIDO,50 MG,ASTRAZENECA,ORAL,SI
F-20032,ASPIRINA 100MG COMPRIMIDO,ACIDO ACETILSALICILICO,COMPRIMIDO,100 MG,BAYER S.A.,ORAL,NO
F-20033,OMEPRAZOL 40MG CAPSULA,OMEPRAZOL,CAPSULA,40 MG,LABORATORIO BETA,ORAL,NO
F-20034,RANITIDINA 150MG COMPRIMIDO,RANITIDINA,COMPRIMIDO,150 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20035,METOCLOPRAMIDA 10MG COMPRIMIDO,METOCLOPRAMIDA,COMPRIMIDO,10 MG,NOVARTIS S.A.,ORAL,NO
F-20036,METFORMINA 500MG COMPRIMIDO,METFORMINA,COMPRIMIDO,500 MG,LABORATORIO CHILE S.A.,ORAL,SI
F-20037,GLIBENCLAMIDA 5MG COMPRIMIDO,GLIBENCLAMIDA,COMPRIMIDO,5 MG,LABORATORIO BETA,ORAL,SI
F-20038,ATORVASTATINA 40MG COMPRIMIDO,ATORVASTATINA,COMPRIMIDO,40 MG,PFIZER INC.,ORAL,SI
F-20039,SIMVASTATINA 20MG COMPRIMIDO,SIMVASTATINA,COMPRIMIDO,20 MG,MERCK S.A.,ORAL,SI
F-20040,LEVOTIROXINA 100MCG COMPRIMIDO,LEVOTIROXINA SODICA,COMPRIMIDO,100 MCG,MERCK S.A.,ORAL,SI
F-20041,CLONAZEPAM 2MG COMPRIMIDO,CLONAZEPAM,COMPRIMIDO,2 MG,ROCHE,ORAL,SI
F-20042,FLUOXETINA 20MG CAPSULA,FLUOXETINA,CAPSULA,20 MG,ELI LILLY,ORAL,SI
F-20043,SERTRALINA 50MG COMPRIMIDO,SERTRALINA,COMPRIMIDO,50 MG,PFIZER INC.,ORAL,SI
F-20044,SALBUTAMOL 100MCG INHALADOR,SALBUTAMOL,AEROSOL,100 MCG,GLAXOSMITHKLINE,INHALATORIA,NO
F-20045,LORATADINA 10MG COMPRIMIDO,LORATADINA,COMPRIMIDO,10 MG,SCHERING-PLOUGH,ORAL,NO
F-20046,CETIRIZINA 10MG COMPRIMIDO,CETIRIZINA,COMPRIMIDO,10 MG,UCB S.A.,ORAL,NO
F-20047,VITAMINA D3 2000 UI CAPSULA,COLECALCIFEROL,CAPSULA,2000 UI,LABORATORIO CHILE S.A.,ORAL,NO
F-20048,ACIDO FOLICO 5MG COMPRIMIDO,ACIDO FOLICO,COMPRIMIDO,5 MG,LABORATORIO BETA,ORAL,NO
F-20049,PREDNISONA 20MG COMPRIMIDO,PREDNISONA,COMPRIMIDO,20 MG,LABORATORIO CHILE S.A.,ORAL,SI
F-20050,ALPRAZOLAM 0.25MG COMPRIMIDO,ALPRAZOLAM,COMPRIMIDO,0.25 MG,PFIZER INC.,ORAL,SI
F-20051,REFLEXAN 10MG COMPRIMIDO,CICLOBENZAPRINA,COMPRIMIDO,10 MG,ANDROMACO,ORAL,SI
F-20052,LOSARTAN HCT 50/12.5MG COMPRIMIDO,LOSARTAN POTASICO,COMPRIMIDO,50 MG,LABORATORIO CHILE S.A.,ORAL,SI
